"violationState","type","policyName","groupId","artifactId"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-vertx-http"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-security-runtime-spi"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-credentials"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-vertx-context"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-web"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-web-common"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-auth-common"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-bridge-common"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-uri-template"
"INFO","LICENSE","Permissive","io.vertx","vertx-uri-template"
"INFO","LICENSE","Permissive","io.vertx","vertx-web"
"INFO","LICENSE","Permissive","io.vertx","vertx-web-common"
"INFO","LICENSE","Permissive","io.vertx","vertx-auth-common"
"INFO","LICENSE","Permissive","io.vertx","vertx-bridge-common"
"INFO","LICENSE","Permissive","io.github.crac","org-crac"
"INFO","LICENSE","Permissive","io.quarkus.vertx.utils","quarkus-vertx-utils"
"INFO","LICENSE","Permissive","org.jboss.logging","jboss-logging"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy-server-common"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-cdi"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-core-spi"
"INFO","LICENSE","Permissive","jakarta.validation","jakarta.validation-api"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy-jackson"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-jackson"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.core","jackson-databind"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.datatype","jackson-datatype-jsr310"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.datatype","jackson-datatype-jdk8"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.module","jackson-module-parameter-names"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-jackson2-provider"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.core","jackson-core"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.core","jackson-annotations"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.jakarta.rs","jackson-jakarta-rs-base"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.jakarta.rs","jackson-jakarta-rs-json-provider"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.module","jackson-module-jakarta-xmlbind-annotations"
"WARN","LICENSE","Weak Copyleft","com.github.java-json-tools","json-patch"
"WARN","LICENSE","Weak Copyleft","com.github.java-json-tools","msg-simple"
"WARN","LICENSE","Weak Copyleft","com.github.java-json-tools","btf"
"WARN","LICENSE","Weak Copyleft","com.github.java-json-tools","jackson-coreutils"
"INFO","LICENSE","Permissive","jakarta.xml.bind","jakarta.xml.bind-api"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-config-yaml"
"INFO","LICENSE","Permissive","io.smallrye.config","smallrye-config-source-yaml"
"INFO","LICENSE","Permissive","io.smallrye.config","smallrye-config-common"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-classloader"
"INFO","LICENSE","Permissive","io.smallrye.config","smallrye-config"
"INFO","LICENSE","Permissive","io.smallrye.config","smallrye-config-core"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-constraint"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-core"
"INFO","LICENSE","Permissive","jakarta.inject","jakarta.inject-api"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-os"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-ide-launcher"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-development-mode-spi"
"INFO","LICENSE","Permissive","org.jboss.logmanager","jboss-logmanager"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-cpu"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-expression"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-function"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-net"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-ref"
"INFO","LICENSE","Permissive","org.jboss.logging","jboss-logging-annotations"
"INFO","LICENSE","Permissive","org.jboss.threads","jboss-threads"
"INFO","LICENSE","Permissive","org.slf4j","slf4j-api"
"INFO","LICENSE","Permissive","org.wildfly.common","wildfly-common"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-bootstrap-runner"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-classloader-commons"
"INFO","LICENSE","Permissive","io.smallrye.common","smallrye-common-io"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-fs-util"
"INFO","LICENSE","Permissive","org.eclipse.microprofile.config","microprofile-config-api"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy-client"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy-common"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-core"
"INFO","LICENSE","Permissive","org.reactivestreams","reactive-streams"
"INFO","LICENSE","Permissive","com.ibm.async","asyncutil"
"INFO","LICENSE","Permissive","org.jboss.resteasy.microprofile","microprofile-config"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-rest-client-config"
"INFO","LICENSE","Permissive","io.smallrye","jandex"
"INFO","LICENSE","Permissive","org.jboss.resteasy.microprofile","microprofile-rest-client"
"INFO","LICENSE","Permissive","org.jboss.resteasy.microprofile","microprofile-rest-client-base"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-client"
"INFO","LICENSE","Permissive","org.jboss.resteasy","resteasy-client-api"
"WARN","LICENSE","Weak Copyleft","jakarta.interceptor","jakarta.interceptor-api"
"WARN","LICENSE","Weak Copyleft","jakarta.ws.rs","jakarta.ws.rs-api"
"INFO","LICENSE","Permissive","org.apache.httpcomponents","httpasyncclient"
"INFO","LICENSE","Permissive","org.jboss.logging","commons-logging-jboss-logging"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-resteasy-client-jackson"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-smallrye-openapi"
"INFO","LICENSE","Permissive","io.smallrye","smallrye-open-api-core"
"INFO","LICENSE","Permissive","org.eclipse.microprofile.openapi","microprofile-openapi-api"
"INFO","LICENSE","Permissive","com.fasterxml.jackson.dataformat","jackson-dataformat-yaml"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-swagger-ui"
