"groupId","artifactId","version","scope","lastUpdatedDate"
"org.junit.jupiter","junit-jupiter-api","5.9.2","test","2025-05-30 10:38:29"
"org.opentest4j","opentest4j","1.2.0","test","2023-07-06 12:29:38"
"org.junit.platform","junit-platform-commons","1.9.2","test","2025-05-30 10:38:25"
"org.apiguardian","apiguardian-api","1.1.2","test","2021-06-27 12:56:05"
"org.junit.jupiter","junit-jupiter-params","5.9.2","test","2025-05-30 10:38:30"
"org.junit.jupiter","junit-jupiter-engine","5.9.2","test","2025-05-30 10:38:27"
"org.junit.platform","junit-platform-engine","1.9.2","test","2025-05-30 10:38:29"
"com.thoughtworks.xstream","xstream","1.4.20","test","2024-11-07 19:41:47"
"io.github.x-stream","mxparser","1.2.2","test","2021-08-18 22:46:55"
"xmlpull","xmlpull","1.1.3.1","test","Unknown"
"io.rest-assured","rest-assured","4.5.1","test","2025-05-22 14:15:49"
"org.codehaus.groovy","groovy","3.0.9","test","2025-05-27 03:47:23"
"org.codehaus.groovy","groovy-xml","3.0.9","test","2025-05-27 04:21:13"
"org.apache.httpcomponents","httpclient","4.5.14","test","2022-12-04 11:08:23"
"org.apache.httpcomponents","httpcore","4.4.16","test","2022-11-29 12:29:20"
"commons-codec","commons-codec","1.15","test","2025-01-27 17:55:40"
"org.apache.httpcomponents","httpmime","4.5.14","test","2022-12-04 11:08:25"
"org.hamcrest","hamcrest","2.1","test","2024-08-01 09:15:43"
"org.ccil.cowan.tagsoup","tagsoup","1.2.1","test","2011-08-22 17:07:00"
"io.rest-assured","json-path","4.5.1","test","2025-05-22 14:15:47"
"org.codehaus.groovy","groovy-json","3.0.9","test","2025-05-27 04:07:27"
"io.rest-assured","rest-assured-common","4.5.1","test","2025-05-22 14:15:48"
"io.rest-assured","xml-path","4.5.1","test","2025-05-22 14:15:47"
"org.apache.commons","commons-lang3","3.12.0","test","2024-08-29 19:38:20"
"junit","junit","4.13.2","compile","2021-02-13 16:44:33"
"org.hamcrest","hamcrest-core","1.3","compile","2024-08-01 09:15:44"
"log4j","log4j","1.2.17","compile","2014-03-18 15:44:02"
"io.quarkus.platform","quarkus-bom","2.16.3.Final","",""
"io.quarkus.platform","quarkus-maven-plugin","2.16.3.Final","",""
"org.apache.maven.plugins","maven-compiler-plugin","3.12.1","",""
"org.apache.maven.plugins","maven-surefire-plugin","3.2.3","",""
"org.apache.maven.plugins","maven-failsafe-plugin","3.2.3","",""
"org.openrewrite.maven","rewrite-maven-plugin","5.45.0","",""
"org.openrewrite.recipe","rewrite-testing-frameworks","2.17.0","",""
